iter	Passed	Remaining
0	137	137270
1	138	69135
2	139	46378
3	140	34976
4	141	28154
5	142	23600
6	143	20331
7	144	17875
8	145	15973
9	145	14445
10	146	13194
11	147	12165
12	148	11303
13	149	10557
14	150	9899
15	151	9330
16	152	8834
17	153	8391
18	154	7988
19	155	7626
20	156	7303
21	157	7013
22	158	6740
23	159	6490
24	160	6262
25	161	6047
26	162	5851
27	163	5667
28	163	5487
29	164	5321
30	165	5170
31	166	5040
32	167	4907
33	168	4782
34	169	4666
35	170	4556
36	171	4450
37	171	4350
38	172	4256
39	173	4164
40	174	4074
41	174	3991
42	175	3910
43	176	3830
44	177	3757
45	177	3685
46	178	3623
47	179	3560
48	180	3498
49	180	3436
50	181	3378
51	182	3322
52	183	3270
53	183	3219
54	184	3172
55	185	3126
56	186	3079
57	186	3033
58	187	2991
59	188	2950
60	189	2911
61	189	2873
62	190	2836
63	191	2800
64	192	2765
65	193	2731
66	193	2698
67	194	2665
68	195	2633
69	195	2601
70	196	2577
71	197	2550
72	198	2523
73	199	2498
74	200	2471
75	200	2443
76	201	2417
77	202	2391
78	203	2371
79	204	2347
80	204	2324
81	205	2300
82	205	2274
83	206	2252
84	207	2230
85	207	2209
86	208	2187
87	209	2168
88	210	2149
89	210	2133
90	211	2114
91	212	2095
92	213	2078
93	213	2061
94	214	2043
95	215	2028
96	216	2011
97	216	1995
98	217	1979
99	218	1963
100	218	1947
101	219	1932
102	220	1917
103	220	1903
104	221	1891
105	222	1877
106	223	1864
107	224	1850
108	224	1836
109	225	1823
110	226	1810
111	226	1796
112	227	1783
113	228	1775
114	229	1764
115	230	1752
116	230	1740
117	231	1728
118	231	1716
119	232	1704
120	233	1693
121	233	1680
122	234	1672
123	235	1662
124	236	1655
125	237	1644
126	237	1632
127	238	1622
128	238	1611
129	239	1601
130	239	1591
131	240	1583
132	242	1578
133	242	1569
134	243	1560
135	244	1551
136	244	1541
137	245	1532
138	245	1522
139	246	1513
140	247	1507
141	247	1497
142	248	1489
143	249	1481
144	249	1473
145	250	1465
146	251	1457
147	251	1448
148	252	1440
149	252	1433
150	253	1425
151	254	1418
152	254	1411
153	255	1404
154	256	1396
155	256	1389
156	257	1381
157	257	1374
158	258	1367
159	259	1360
160	259	1353
161	260	1347
162	261	1341
163	261	1334
164	262	1328
165	262	1321
166	263	1314
167	264	1307
168	264	1301
169	265	1294
170	266	1289
171	266	1284
172	267	1278
173	267	1271
174	268	1265
175	269	1259
176	269	1254
177	270	1248
178	270	1242
179	271	1236
180	272	1231
181	272	1226
182	273	1221
183	274	1216
184	274	1210
185	275	1204
186	275	1199
187	276	1193
188	277	1188
189	278	1185
190	278	1181
191	279	1176
192	280	1172
193	280	1167
194	281	1162
195	282	1156
196	282	1151
197	283	1146
198	283	1142
199	285	1140
200	285	1135
201	286	1131
202	287	1126
203	287	1122
204	288	1117
205	288	1112
206	289	1108
207	289	1103
208	290	1100
209	291	1096
210	292	1092
211	292	1087
212	293	1083
213	293	1079
214	294	1074
215	294	1070
216	295	1066
217	296	1062
218	296	1058
219	297	1055
220	298	1052
221	299	1048
222	299	1044
223	300	1040
224	300	1036
225	301	1032
226	301	1028
227	302	1024
228	303	1021
229	304	1019
230	305	1015
231	305	1012
232	306	1008
233	306	1004
234	307	1000
235	307	996
236	308	993
237	309	989
238	310	987
239	310	984
240	311	980
241	312	977
242	312	973
243	313	970
244	313	966
245	314	963
246	314	959
247	315	957
248	316	955
249	317	952
250	317	948
251	318	945
252	319	942
253	319	939
254	320	935
255	320	932
256	321	929
257	322	927
258	323	924
259	323	921
260	324	918
261	325	916
262	325	913
263	326	911
264	327	909
265	328	907
266	329	905
267	330	902
268	331	899
269	331	896
270	332	893
271	332	890
272	333	887
273	334	885
274	334	882
275	335	880
276	336	877
277	336	875
278	337	872
279	338	869
280	338	866
281	339	864
282	340	861
283	340	859
284	341	856
285	342	854
286	342	851
287	343	849
288	344	846
289	344	843
290	345	841
291	345	838
292	346	836
293	347	834
294	348	832
295	349	830
296	349	827
297	350	825
298	350	822
299	351	819
300	351	817
301	352	814
302	353	813
303	354	811
304	355	809
305	355	807
306	356	804
