iter	Passed	Remaining
0	131	131816
1	132	66196
2	133	44319
3	134	33382
4	134	26830
5	135	22493
6	136	19379
7	137	17022
8	137	15190
9	138	13719
10	139	12519
11	139	11526
12	140	10676
13	141	9963
14	142	9347
15	142	8790
16	143	8310
17	144	7875
18	144	7483
19	145	7131
20	146	6811
21	146	6520
22	147	6258
23	148	6018
24	148	5795
25	149	5588
26	149	5396
27	150	5219
28	150	5053
29	151	4899
30	152	4754
31	152	4622
32	153	4502
33	154	4383
34	154	4268
35	155	4161
36	156	4061
37	156	3966
38	157	3878
39	157	3791
40	158	3708
41	159	3632
42	159	3560
43	160	3490
44	161	3421
45	161	3356
46	162	3292
47	162	3232
48	163	3174
49	164	3118
50	164	3065
51	165	3015
52	166	2966
53	166	2918
54	167	2872
55	167	2828
56	168	2784
57	168	2743
58	169	2703
59	170	2675
60	171	2644
61	172	2612
62	173	2576
63	173	2542
64	174	2508
65	175	2477
66	175	2445
67	176	2414
68	176	2385
69	177	2358
70	178	2331
71	178	2305
72	179	2278
73	180	2252
74	180	2226
75	181	2202
76	181	2178
77	182	2154
78	182	2131
79	183	2108
80	184	2091
81	185	2072
82	185	2050
83	186	2032
84	187	2013
85	187	1994
86	188	1977
87	189	1959
88	189	1941
89	190	1926
90	191	1910
91	191	1893
92	192	1877
93	193	1861
94	193	1845
95	194	1829
96	194	1814
97	195	1799
98	196	1784
99	196	1771
100	197	1758
101	198	1746
102	199	1733
103	199	1720
104	200	1707
105	201	1696
106	201	1683
107	202	1670
108	202	1658
109	203	1647
110	204	1636
111	204	1624
112	205	1612
113	206	1601
114	206	1589
115	207	1578
116	207	1566
117	208	1556
118	208	1545
119	209	1536
120	210	1526
121	210	1516
122	211	1506
123	212	1498
124	212	1489
125	213	1479
126	213	1469
127	214	1460
128	214	1451
129	215	1443
130	216	1435
131	216	1426
132	217	1417
133	218	1409
134	218	1400
135	219	1392
136	219	1384
137	220	1376
138	220	1367
139	221	1360
140	222	1354
141	222	1345
142	223	1338
143	223	1330
144	224	1323
145	225	1317
146	225	1310
147	226	1303
148	226	1296
149	227	1289
150	228	1283
151	228	1277
152	229	1270
153	230	1263
154	230	1257
155	231	1250
156	231	1244
157	232	1238
158	232	1231
159	233	1225
160	233	1219
161	234	1213
162	235	1208
163	235	1202
164	236	1196
165	237	1190
166	237	1185
167	238	1179
168	238	1173
169	239	1169
170	240	1164
171	240	1159
